year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,0.02,0.07427187,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,0.332,0.49458431,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,0.29,0.458302162,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bangladesh,1.032,0.801187839,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Belgium,4,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Belgium,0.58,0.469589335,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Belgium,1.442,0.461117446,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Belgium,0.102,0.149598895,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,4.374,0.697575885,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,0.724,0.65018674,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,0.104,0.271544713,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,1.03,0.698185637,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,3.462,1.131937052,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,0.45,0.588067882,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,0.002,0.01,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,0.184,0.381821531,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Belgium,0.574,0.643991453,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,2,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,1,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,1,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,1.316,1.008394413,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,1.226,0.730477377,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,0.524,0.63650523,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,0.114,0.294850827,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,0.726,0.698993188,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,1.394,0.678884363,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,0.412,0.496969834,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,0.004,0.02,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Belgium,0.322,0.473847819,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,2,0,Final
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,3.79,0.373837257,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,3,0,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,4.87,1.199535752,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,3.606,1.135558467,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,10.782,2.035643646,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,9.284,1.758889675,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,4.176,1.578371251,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,2.336,1.270462221,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,3.15,1.466022499,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,1.086,0.982309663,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,1.062,0.923314477,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Belgium,3.036,1.724355858,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,9,0,Final
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,4.036,0.143066239,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,8.916,0.603496251,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,8.186,0.402906805,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,3.288,1.117437534,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,4.828,1.314589125,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,13.282,2.561934512,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,18.682,3.105110417,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,16.556,3.117262978,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,13.558,2.693240748,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,12.642,2.827560021,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,6.278,1.966634587,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,11.224,2.735229272,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,5.452,1.899728572,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,5.21,2.041385295,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Belgium,6.056,2.268186121,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.062,0.168353314,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.06,0.202137485,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.046,0.154498194,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.036,0.135804989,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.002,0.01,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.004,0.02,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Belgium,0.066,0.205338105,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,2,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,3,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,1,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,2,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,2.112,0.651303091,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,0.822,0.374192076,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,0.814,0.385423786,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,1.244,0.668621888,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,1.084,0.688766242,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,6.018,1.381952814,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,3.536,1.267494068,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,0.896,0.746946773,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,0.216,0.42998549,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,1.494,0.987273418,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,0.038,0.128949693,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Belgium,0.028,0.11427187,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Burkina Faso,0.13,0.320773058,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Burkina Faso,0.054,0.19281561,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Burkina Faso,0.002,0.01,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Burkina Faso,0.05,0.190668903,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Burkina Faso,0.008,0.033844373,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Burkina Faso,0.042,0.152388113,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Burkina Faso,0.006,0.03,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Burkina Faso,0.01,0.043844373,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Bulgaria,0.114,0.19639991,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Bulgaria,0.026,0.097010621,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bulgaria,1.176,0.673463384,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bulgaria,0.014,0.063844373,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bulgaria,0.004,0.02,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bulgaria,1,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bulgaria,0.954,0.171282491,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,2,0,Final
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,1.054,0.393096026,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.874,0.438573806,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.034,0.151533119,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.726,0.486877769,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.526,0.489647143,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,2.286,0.992675396,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.684,0.683516265,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.036,0.155377492,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.67,0.735844633,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.732,0.796044962,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bulgaria,0.106,0.28584081,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,1,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,1,0,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,0.608,0.486994312,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,0.144,0.309375537,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,0.128,0.303591136,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,0.522,0.510371931,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,0.11,0.299614873,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bulgaria,0.992,0.850662107,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,1,0,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.742,0.431700078,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.768,0.495584452,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.142,0.30561369,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.654,0.537035999,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.126,0.33551277,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.094,0.290594594,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bulgaria,0.25,0.438814097,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bahrain,2,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bahrain,1,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bahrain,0.83,0.35827518,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bahrain,0.22,0.402302943,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bahrain,1.796,0.799195719,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bahrain,0.758,0.665013525,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,2,0,Final
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,1,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,0.562,0.477766603,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,0.674,0.457968697,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,0.262,0.440564143,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,0.264,0.428901245,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Bahrain,0.666,0.570766645,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,1,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,2,0,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.678,0.460756266,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.842,0.360391963,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.908,0.26968526,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.97,0.54535076,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.804,0.386470294,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,2.214,0.863354823,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.038,0.144085779,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,2.054,0.890746501,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bahrain,0.534,0.544154271,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,3,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,1,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,2,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,3,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,1.84,0.359575662,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,0.956,0.154021242,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,1.812,0.388685003,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,1.414,0.56324303,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,0.896,0.287129678,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,0.858,0.343034369,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,2.09,0.733721908,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,0.79,0.401213427,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,0.97,0.612984749,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,1.182,0.681488165,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bahrain,0.996,0.701060745,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Bahrain,0.156,0.366673871,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Bahrain,0.006,0.03,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,2,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,1,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,3,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,2,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,0.778,0.412794695,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,2.408,0.669009391,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,2.164,0.890510099,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,0.612,0.48064683,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,1.28,0.94458826,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,0.402,0.586745662,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,0.738,0.715459582,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,0.234,0.467026396,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bahrain,0.786,0.764717642,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Burundi,0.254,0.394713126,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Burundi,4,0,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Burundi,2.62,0.554540816,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Burundi,1,0,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Benin,0.024,0.079135784,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Benin,0.006,0.03,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Benin,0.006,0.03,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Benin,0.002,0.01,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Benin,0.01,0.043844373,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bermuda,0.47,0.484688407,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bermuda,0.498,0.492357338,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Bermuda,0.176,0.3514057,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.332,0.463457558,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.59,0.494583719,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.164,0.351978047,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.488,0.49791546,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.016,0.08,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.39,0.526582939,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.004,0.02,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.014,0.050427497,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.012,0.06,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Bermuda,0.002,0.01,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bermuda,0.218,0.40388778,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bermuda,0.936,0.709827884,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Bermuda,0.062,0.185016058,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Bermuda,0.084,0.245883814,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Bermuda,0.094,0.278423712,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,3.898,0.278258011,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,1,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.814,0.38413894,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.384,0.465369838,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,1.238,0.630646139,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,1.158,0.671848478,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.076,0.238519436,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.414,0.495702259,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.53,0.534636767,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.034,0.143517963,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.002,0.01,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Bermuda,0.942,0.83683737,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Brunei Darussalam,2.438,0.634738198,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Brunei Darussalam,0.38,0.437050951,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,2,0,Final
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,2,0,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,0.586,0.586962437,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,0.582,0.483953944,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,1.594,0.800322007,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,0.076,0.227890765,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,0.636,0.631096968,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,0.184,0.395346777,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Brunei Darussalam,0.374,0.502836427,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,4,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,7,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,2,0,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,1.516,0.571345659,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,2.384,0.949153133,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,1.674,1.021424835,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,2.2,1.222103535,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,0.058,0.181370537,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Brunei Darussalam,0.326,0.505930264,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,2,0,Final
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.684,0.436769872,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.72,0.447252624,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.462,0.496985716,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,1.836,0.819230074,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.15,0.356306768,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.018,0.083844373,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.472,0.623561016,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Brunei Darussalam,0.034,0.130854994,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Brunei Darussalam,2,0,Final
